"id","l10n_id_ebupot_facility","l10n_id_ebupot_code","active","description","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","fiscal_position_ids","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id","original_tax_ids"
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_61100110",""
"tax_22-102-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-102-01_ebupot","True","Income Received or Obtained by Domestic Traders from the Sale of Goods, Provision of Services, and/or Rentals and Other Income in Connection with the Use of Assets Conducted Through Trading Through Electronic Systems (Non-Final)","","-0.5%","sale","l10n_id_tax_group_pph22","0.5% 22-102-01","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_61100110",""
"tax_22-102-02","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-102-02_ebupot","True","Income Received or Obtained by Domestic Traders from the Sale of Goods, Provision of Services, and/or Rentals and Other Income in Connection with the Use of Assets Conducted Through Electronic Trading Systems (Final)","","-0.5%","sale","l10n_id_tax_group_pph22","0.5% 22-102-02","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-25","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-25_ebupot","False","Domestic Sales of Gold Bullion by Gold Jewelry and/or Gold Bullion Entrepreneurs","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-100-25","percent","-0.25","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-26","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-26_ebupot","False","Domestic Sales of Gold Jewelry by Gold Jewelry and/or Gold Bar Entrepreneurs","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-100-26","percent","-0.25","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
